year,month,active_reps,avg_attainment,total_deals,total_revenue,revenue_change_from_prev_month
2024,1,20,51.27,36,635439.0,
2024,2,21,55.7,25,724085.0,88646.0
2024,3,23,55.73,42,809906.0,85821.0
2024,4,24,68.73,35,1053297.0,243391.0
2024,5,26,66.79,51,1128558.0,75260.0
2024,6,26,70.1,48,1191605.0,63047.0
2024,7,29,75.11,66,1432690.0,241084.0
2024,8,29,76.74,56,1462970.0,30280.0
2024,9,31,75.42,49,1578606.0,115636.0
2024,10,35,84.28,68,1974191.0,395585.0
2024,11,36,85.88,76,2072855.0,98664.0
2024,12,40,80.5,82,2167827.0,94972.0
2025,1,40,63.52,72,1703841.0,-463986.0
2025,2,40,62.92,64,1670734.0,-33107.0
2025,3,40,68.13,70,1828920.0,158186.0
2025,4,40,79.73,79,2135447.0,306527.0
2025,5,40,80.87,72,2148637.0,13190.0
2025,6,40,83.86,76,2232466.0,83828.0
2025,7,40,87.55,68,2347123.0,114657.0
2025,8,40,90.21,73,2421322.0,74199.0
2025,9,40,88.3,72,2353449.0,-67872.0
2025,10,40,101.18,71,2695715.0,342266.0
2025,11,40,100.86,72,2699790.0,4075.0
2025,12,40,100.42,64,2666064.0,-33726.0
