deal_id,rep_id,deal_date,customer_segment,territory,deal_size_usd,discount_pct,final_deal_value,cycle_days,deal_status,loss_reason
DEAL00001,REP001,2024-05-25,Enterprise,EMEA,107025,10,96322.5,169,Lost,Competitor
DEAL00002,REP001,2024-01-03,Enterprise,EMEA,267207,0,267207.0,137,Lost,Missing Feature
DEAL00003,REP001,2025-03-11,Enterprise,EMEA,380943,10,342848.7,71,Won,
DEAL00004,REP001,2024-01-17,Enterprise,EMEA,408697,5,388262.15,55,Lost,No Decision
DEAL00005,REP001,2025-02-03,Enterprise,EMEA,365122,15,310353.7,216,Lost,Missing Feature
DEAL00006,REP001,2024-06-11,Enterprise,EMEA,484922,15,412183.7,95,Lost,No Decision
DEAL00007,REP001,2025-06-16,Enterprise,EMEA,114716,15,97508.6,93,Lost,No Decision
DEAL00008,REP001,2025-12-05,Enterprise,EMEA,435787,15,370418.95,88,Lost,Price
DEAL00009,REP001,2024-10-29,Enterprise,EMEA,319739,10,287765.1,102,Lost,Poor Fit
DEAL00010,REP001,2024-04-05,Enterprise,EMEA,186576,5,177247.2,178,Lost,Competitor
DEAL00011,REP001,2025-04-25,Enterprise,EMEA,192508,5,182882.6,118,Lost,Budget Cut
DEAL00012,REP001,2025-10-02,Enterprise,EMEA,277218,10,249496.2,115,Won,
DEAL00013,REP001,2025-04-25,Enterprise,EMEA,398663,25,298997.25,87,Won,
DEAL00014,REP001,2025-11-03,Enterprise,EMEA,346661,5,329327.95,162,Won,
DEAL00015,REP001,2025-03-20,Enterprise,EMEA,339644,20,271715.2,170,Lost,No Decision
DEAL00016,REP001,2025-05-11,Enterprise,EMEA,469552,30,328686.4,71,Lost,Budget Cut
DEAL00017,REP001,2024-11-06,Enterprise,EMEA,481897,15,409612.45,156,Lost,Competitor
DEAL00018,REP001,2025-03-25,Enterprise,EMEA,395119,0,395119.0,144,Lost,Budget Cut
DEAL00019,REP001,2025-12-11,Enterprise,EMEA,108381,25,81285.75,151,Lost,Competitor
DEAL00020,REP001,2024-04-24,Enterprise,EMEA,260477,0,260477.0,177,Won,
DEAL00021,REP001,2024-10-25,Enterprise,EMEA,117529,0,117529.0,109,Lost,Competitor
DEAL00022,REP001,2024-05-06,Enterprise,EMEA,265301,5,252035.95,118,Lost,Timing
DEAL00023,REP001,2025-04-12,Enterprise,EMEA,258239,10,232415.1,102,Lost,Competitor
DEAL00024,REP001,2025-07-06,Enterprise,EMEA,183038,10,164734.2,150,Lost,Missing Feature
DEAL00025,REP001,2024-07-12,Enterprise,EMEA,275793,20,220634.4,112,Won,
DEAL00026,REP001,2025-10-31,Enterprise,EMEA,465208,30,325645.6,68,Lost,Competitor
DEAL00027,REP001,2024-09-05,Enterprise,EMEA,202391,10,182151.9,105,Lost,Price
DEAL00028,REP001,2025-10-14,Enterprise,EMEA,183184,5,174024.8,125,Lost,No Decision
DEAL00029,REP001,2025-06-26,Enterprise,EMEA,416615,0,416615.0,88,Won,
DEAL00030,REP001,2024-05-27,Enterprise,EMEA,251967,10,226770.3,144,Lost,No Decision
DEAL00031,REP001,2024-03-01,Enterprise,EMEA,384833,5,365591.35,125,Lost,Timing
DEAL00032,REP002,2025-06-05,SMB,EMEA,11999,5,11399.05,24,Lost,Price
DEAL00033,REP002,2024-04-23,SMB,EMEA,22145,0,22145.0,36,Lost,Price
DEAL00034,REP002,2025-08-10,SMB,EMEA,18767,0,18767.0,35,Won,
DEAL00035,REP002,2024-02-01,SMB,EMEA,18880,0,18880.0,24,Lost,Poor Fit
DEAL00036,REP002,2024-03-26,SMB,EMEA,21344,0,21344.0,41,Lost,Poor Fit
DEAL00037,REP002,2024-01-21,SMB,EMEA,24194,5,22984.3,11,Lost,Price
DEAL00038,REP002,2024-12-19,SMB,EMEA,9857,10,8871.3,27,Won,
DEAL00039,REP002,2024-11-14,SMB,EMEA,10756,5,10218.2,42,Lost,Price
DEAL00040,REP002,2025-11-27,SMB,EMEA,22500,0,22500.0,46,Won,
DEAL00041,REP002,2025-09-17,SMB,EMEA,16528,25,12396.0,40,Won,
DEAL00042,REP002,2024-11-21,SMB,EMEA,18406,20,14724.8,41,Won,
DEAL00043,REP002,2024-03-17,SMB,EMEA,23325,5,22158.75,33,Won,
DEAL00044,REP002,2024-03-14,SMB,EMEA,16228,5,15416.6,30,Won,
DEAL00045,REP002,2024-11-27,SMB,EMEA,13000,5,12350.0,18,Won,
DEAL00046,REP002,2024-09-01,SMB,EMEA,7881,15,6698.85,33,Lost,Price
DEAL00047,REP002,2025-04-09,SMB,EMEA,11185,15,9507.25,22,Lost,Competitor
DEAL00048,REP002,2024-04-21,SMB,EMEA,17696,10,15926.4,39,Won,
DEAL00049,REP002,2024-02-08,SMB,EMEA,19986,10,17987.4,36,Lost,Competitor
DEAL00050,REP002,2025-03-21,SMB,EMEA,18828,10,16945.2,23,Won,
DEAL00051,REP002,2024-09-21,SMB,EMEA,19588,5,18608.6,27,Lost,Competitor
DEAL00052,REP002,2024-04-22,SMB,EMEA,11461,5,10887.95,38,Lost,Price
DEAL00053,REP002,2024-07-05,SMB,EMEA,14304,10,12873.6,25,Lost,Timing
DEAL00054,REP002,2025-08-04,SMB,EMEA,15147,15,12874.95,34,Won,
DEAL00055,REP002,2024-01-19,SMB,EMEA,9276,5,8812.2,24,Won,
DEAL00056,REP002,2025-11-25,SMB,EMEA,13245,30,9271.5,7,Lost,Price
DEAL00057,REP002,2025-08-02,SMB,EMEA,11976,20,9580.8,36,Lost,Price
DEAL00058,REP002,2025-07-16,SMB,EMEA,6031,0,6031.0,19,Won,
DEAL00059,REP002,2025-11-25,SMB,EMEA,18998,5,18048.1,17,Won,
DEAL00060,REP002,2024-01-10,SMB,EMEA,7939,0,7939.0,31,Won,
DEAL00061,REP002,2024-07-28,SMB,EMEA,12972,10,11674.8,16,Won,
DEAL00062,REP002,2025-02-19,SMB,EMEA,11044,0,11044.0,20,Lost,Price
DEAL00063,REP002,2024-01-18,SMB,EMEA,18858,5,17915.1,42,Won,
DEAL00064,REP002,2024-11-14,SMB,EMEA,22920,15,19482.0,25,Lost,Missing Feature
DEAL00065,REP002,2024-03-20,SMB,EMEA,12991,5,12341.45,11,Won,
DEAL00066,REP002,2025-12-23,SMB,EMEA,14327,0,14327.0,38,Won,
DEAL00067,REP002,2024-11-12,SMB,EMEA,19633,5,18651.35,36,Lost,Price
DEAL00068,REP002,2024-03-26,SMB,EMEA,10370,0,10370.0,11,Won,
DEAL00069,REP002,2025-08-05,SMB,EMEA,17436,10,15692.4,30,Lost,No Decision
DEAL00070,REP002,2025-03-21,SMB,EMEA,12236,10,11012.4,21,Lost,Price
DEAL00071,REP002,2024-07-02,SMB,EMEA,23033,10,20729.7,14,Won,
DEAL00072,REP002,2024-10-19,SMB,EMEA,16556,15,14072.6,21,Lost,Missing Feature
DEAL00073,REP002,2025-02-15,SMB,EMEA,15107,20,12085.6,18,Lost,Price
DEAL00074,REP002,2025-10-08,SMB,EMEA,21295,0,21295.0,46,Lost,Timing
DEAL00075,REP002,2025-07-24,SMB,EMEA,11302,10,10171.8,18,Lost,Price
DEAL00076,REP002,2024-06-30,SMB,EMEA,12494,0,12494.0,42,Lost,No Decision
DEAL00077,REP002,2025-11-18,SMB,EMEA,16080,0,16080.0,19,Won,
DEAL00078,REP002,2025-10-17,SMB,EMEA,8718,15,7410.3,33,Lost,Timing
DEAL00079,REP002,2025-06-08,SMB,EMEA,20932,0,20932.0,42,Lost,Competitor
DEAL00080,REP002,2024-05-19,SMB,EMEA,5036,10,4532.4,27,Lost,Budget Cut
DEAL00081,REP002,2025-09-09,SMB,EMEA,8880,0,8880.0,21,Won,
DEAL00082,REP002,2025-10-23,SMB,EMEA,17075,5,16221.25,36,Won,
DEAL00083,REP002,2025-09-18,SMB,EMEA,5414,0,5414.0,16,Lost,No Decision
DEAL00084,REP002,2025-04-19,SMB,EMEA,17888,0,17888.0,44,Won,
DEAL00085,REP003,2024-04-03,SMB,APAC,24364,20,19491.2,34,Lost,Poor Fit
DEAL00086,REP003,2025-07-27,SMB,APAC,15222,0,15222.0,46,Lost,Competitor
DEAL00087,REP003,2025-11-20,SMB,APAC,23601,10,21240.9,25,Lost,Competitor
DEAL00088,REP003,2025-09-10,SMB,APAC,15457,0,15457.0,21,Lost,Price
DEAL00089,REP003,2025-02-20,SMB,APAC,11516,10,10364.4,29,Lost,Timing
DEAL00090,REP003,2024-09-28,SMB,APAC,6421,20,5136.8,25,Won,
DEAL00091,REP003,2024-03-21,SMB,APAC,5255,0,5255.0,32,Lost,Competitor
DEAL00092,REP003,2024-01-24,SMB,APAC,14919,0,14919.0,13,Won,
DEAL00093,REP003,2025-02-24,SMB,APAC,11277,10,10149.3,42,Lost,Timing
DEAL00094,REP003,2025-03-10,SMB,APAC,11869,5,11275.55,27,Lost,Competitor
DEAL00095,REP003,2024-08-29,SMB,APAC,17386,5,16516.7,33,Lost,Price
DEAL00096,REP003,2025-08-11,SMB,APAC,23961,20,19168.8,16,Lost,Poor Fit
DEAL00097,REP003,2024-04-01,SMB,APAC,6950,25,5212.5,27,Lost,Timing
DEAL00098,REP003,2024-10-06,SMB,APAC,24308,15,20661.8,13,Lost,Timing
DEAL00099,REP003,2025-11-06,SMB,APAC,17026,10,15323.4,36,Lost,Competitor
DEAL00100,REP003,2024-01-14,SMB,APAC,8033,0,8033.0,29,Lost,Price
DEAL00101,REP003,2025-05-06,SMB,APAC,19294,0,19294.0,20,Lost,Competitor
DEAL00102,REP003,2024-01-08,SMB,APAC,20611,0,20611.0,28,Lost,Timing
DEAL00103,REP004,2024-01-26,Enterprise,North America,248063,0,248063.0,105,Won,
DEAL00104,REP004,2025-08-11,Enterprise,North America,179876,0,179876.0,92,Lost,Price
DEAL00105,REP004,2024-01-08,Enterprise,North America,343722,0,343722.0,22,Won,
DEAL00106,REP004,2025-10-01,Enterprise,North America,420739,0,420739.0,116,Lost,Poor Fit
DEAL00107,REP004,2025-07-10,Enterprise,North America,105914,10,95322.6,139,Lost,Competitor
DEAL00108,REP004,2024-06-24,Enterprise,North America,226599,15,192609.15,86,Won,
DEAL00109,REP004,2025-12-19,Enterprise,North America,335654,25,251740.5,100,Won,
DEAL00110,REP004,2025-06-10,Enterprise,North America,142039,25,106529.25,185,Lost,Competitor
DEAL00111,REP004,2025-04-21,Enterprise,North America,180903,30,126632.1,149,Lost,Missing Feature
DEAL00112,REP004,2024-08-18,Enterprise,North America,161748,25,121311.0,97,Lost,Poor Fit
DEAL00113,REP004,2024-10-26,Enterprise,North America,256640,10,230976.0,123,Lost,Competitor
DEAL00114,REP004,2024-10-29,Enterprise,North America,392192,0,392192.0,116,Lost,No Decision
DEAL00115,REP004,2024-01-15,Enterprise,North America,444087,0,444087.0,133,Lost,Price
DEAL00116,REP004,2025-08-10,Enterprise,North America,311321,15,264622.85,100,Won,
DEAL00117,REP004,2025-02-27,Enterprise,North America,344688,5,327453.6,85,Lost,Missing Feature
DEAL00118,REP004,2025-01-25,Enterprise,North America,162112,20,129689.6,75,Won,
DEAL00119,REP004,2024-04-04,Enterprise,North America,321490,0,321490.0,137,Lost,Budget Cut
DEAL00120,REP004,2025-02-09,Enterprise,North America,335067,20,268053.6,94,Lost,Missing Feature
DEAL00121,REP004,2024-06-18,Enterprise,North America,366890,5,348545.5,110,Won,
DEAL00122,REP004,2025-06-10,Enterprise,North America,441090,5,419035.5,80,Lost,No Decision
DEAL00123,REP004,2025-07-02,Enterprise,North America,205940,15,175049.0,118,Lost,No Decision
DEAL00124,REP004,2025-05-02,Enterprise,North America,479028,5,455076.6,105,Lost,Price
DEAL00125,REP004,2024-07-03,Enterprise,North America,370628,25,277971.0,99,Won,
DEAL00126,REP004,2025-12-09,Enterprise,North America,372459,20,297967.2,89,Won,
DEAL00127,REP004,2025-07-03,Enterprise,North America,107971,0,107971.0,99,Lost,Timing
DEAL00128,REP004,2025-04-08,Enterprise,North America,241609,10,217448.1,113,Won,
DEAL00129,REP004,2025-04-15,Enterprise,North America,353978,20,283182.4,130,Lost,Price
DEAL00130,REP004,2024-02-12,Enterprise,North America,320010,20,256008.0,146,Lost,Missing Feature
DEAL00131,REP004,2024-09-11,Enterprise,North America,275050,0,275050.0,63,Won,
DEAL00132,REP004,2025-12-07,Enterprise,North America,207009,5,196658.55,66,Lost,Competitor
DEAL00133,REP004,2025-03-28,Enterprise,North America,213259,0,213259.0,102,Lost,Price
DEAL00134,REP004,2025-07-14,Enterprise,North America,494718,15,420510.3,88,Lost,Price
DEAL00135,REP004,2024-01-15,Enterprise,North America,345352,20,276281.6,119,Lost,Timing
DEAL00136,REP005,2025-01-21,SMB,EMEA,12232,5,11620.4,29,Won,
DEAL00137,REP005,2024-01-30,SMB,EMEA,10913,10,9821.7,10,Won,
DEAL00138,REP005,2024-11-25,SMB,EMEA,9791,20,7832.8,19,Lost,Competitor
DEAL00139,REP005,2024-11-09,SMB,EMEA,23177,0,23177.0,49,Lost,Competitor
DEAL00140,REP005,2024-04-16,SMB,EMEA,9155,10,8239.5,31,Lost,Budget Cut
DEAL00141,REP005,2024-04-05,SMB,EMEA,23977,10,21579.3,26,Won,
DEAL00142,REP005,2024-08-21,SMB,EMEA,15350,0,15350.0,36,Won,
DEAL00143,REP005,2024-08-24,SMB,EMEA,10247,10,9222.3,28,Lost,Timing
DEAL00144,REP005,2024-03-30,SMB,EMEA,21494,0,21494.0,42,Lost,Competitor
DEAL00145,REP005,2025-03-16,SMB,EMEA,7504,5,7128.8,31,Lost,Competitor
DEAL00146,REP005,2025-01-29,SMB,EMEA,7196,5,6836.2,36,Lost,Budget Cut
DEAL00147,REP005,2024-09-09,SMB,EMEA,19497,5,18522.15,34,Lost,Missing Feature
DEAL00148,REP005,2024-10-01,SMB,EMEA,16730,5,15893.5,28,Won,
DEAL00149,REP005,2025-06-05,SMB,EMEA,9359,0,9359.0,34,Won,
DEAL00150,REP005,2025-06-23,SMB,EMEA,16730,5,15893.5,20,Won,
DEAL00151,REP005,2024-11-17,SMB,EMEA,22718,10,20446.2,29,Won,
DEAL00152,REP005,2025-10-29,SMB,EMEA,15064,30,10544.8,18,Lost,Missing Feature
DEAL00153,REP005,2025-02-04,SMB,EMEA,10674,0,10674.0,24,Lost,No Decision
DEAL00154,REP005,2024-12-18,SMB,EMEA,11945,0,11945.0,27,Lost,Poor Fit
DEAL00155,REP005,2024-06-04,SMB,EMEA,6018,5,5717.1,30,Lost,Poor Fit
DEAL00156,REP005,2024-12-13,SMB,EMEA,5976,15,5079.6,34,Lost,Poor Fit
DEAL00157,REP005,2024-06-13,SMB,EMEA,5107,10,4596.3,20,Lost,Missing Feature
DEAL00158,REP005,2024-02-29,SMB,EMEA,15603,10,14042.7,35,Lost,Timing
DEAL00159,REP005,2025-06-28,SMB,EMEA,20250,15,17212.5,33,Won,
DEAL00160,REP005,2024-10-12,SMB,EMEA,19167,5,18208.65,27,Lost,Timing
DEAL00161,REP005,2025-10-25,SMB,EMEA,16927,5,16080.65,33,Lost,Competitor
