rep_id,month_date,year,month,quarter,monthly_quota,monthly_revenue,quota_attainment_pct,calls_made,meetings_held,demos_completed,deals_closed,avg_deal_size,pipeline_value,pipeline_coverage_ratio,win_rate,avg_cycle_days,months_tenure
REP001,2024-12-01,2024,12,4,62500.0,18690.54,29.9,25,10,1,2,9345.27,152508.34,2.44,0.197,75,0
REP001,2025-01-01,2025,1,1,62500.0,15152.87,24.24,11,7,2,0,15152.87,116654.3,1.87,0.174,84,1
REP001,2025-02-01,2025,2,1,62500.0,21168.54,33.87,23,1,5,1,21168.54,109403.86,1.75,0.159,84,2
REP001,2025-03-01,2025,3,1,62500.0,27505.61,44.01,23,1,2,2,13752.81,147760.47,2.36,0.123,96,3
REP001,2025-04-01,2025,4,2,62500.0,32363.81,51.78,31,8,1,1,32363.81,148968.38,2.38,0.175,83,4
REP001,2025-05-01,2025,5,2,62500.0,38028.44,60.85,22,8,3,1,38028.44,105681.94,1.69,0.127,80,5
REP001,2025-06-01,2025,6,2,62500.0,43474.0,69.56,9,2,1,2,21737.0,109635.23,1.75,0.13,93,6
REP001,2025-07-01,2025,7,3,62500.0,38783.48,62.05,16,8,4,0,38783.48,109762.93,1.76,0.161,68,7
REP001,2025-08-01,2025,8,3,62500.0,37700.14,60.32,15,6,1,3,12566.71,135751.63,2.17,0.133,86,8
REP001,2025-09-01,2025,9,3,62500.0,41020.57,65.63,21,1,3,0,41020.57,154078.24,2.47,0.146,92,9
REP001,2025-10-01,2025,10,4,62500.0,60195.52,96.31,17,3,2,1,60195.52,102046.59,1.63,0.197,71,10
REP001,2025-11-01,2025,11,4,62500.0,57990.96,92.79,4,4,2,1,57990.96,136781.24,2.19,0.106,77,11
REP001,2025-12-01,2025,12,4,62500.0,61842.31,98.95,7,5,3,2,30921.15,126043.52,2.02,0.166,101,12
REP002,2024-01-01,2024,1,1,62500.0,13736.99,21.98,26,8,5,2,6868.5,149487.44,2.39,0.209,51,0
REP002,2024-02-01,2024,2,1,62500.0,20209.81,32.34,25,15,7,2,10104.9,146753.68,2.35,0.295,56,1
REP002,2024-03-01,2024,3,1,62500.0,23586.95,37.74,34,12,5,4,5896.74,182240.7,2.92,0.294,64,2
REP002,2024-04-01,2024,4,2,62500.0,42763.73,68.42,32,14,5,3,14254.58,179585.44,2.87,0.213,64,3
REP002,2024-05-01,2024,5,2,62500.0,46549.93,74.48,33,13,6,1,46549.93,157161.82,2.51,0.238,51,4
REP002,2024-06-01,2024,6,2,62500.0,45673.73,73.08,17,15,3,4,11418.43,186350.85,2.98,0.234,59,5
REP002,2024-07-01,2024,7,3,62500.0,67148.98,107.44,16,13,4,2,33574.49,204223.78,3.27,0.255,54,6
REP002,2024-08-01,2024,8,3,62500.0,62728.82,100.37,44,17,4,2,31364.41,159376.03,2.55,0.258,61,7
REP002,2024-09-01,2024,9,3,62500.0,59695.73,95.51,38,15,5,1,59695.73,177145.47,2.83,0.25,46,8
REP002,2024-10-01,2024,10,4,62500.0,71055.34,113.69,25,11,4,3,23685.11,203550.06,3.26,0.268,46,9
REP002,2024-11-01,2024,11,4,62500.0,65311.58,104.5,3,12,4,1,65311.58,202887.16,3.25,0.278,62,10
REP002,2024-12-01,2024,12,4,62500.0,65877.46,105.4,32,17,5,2,32938.73,197929.29,3.17,0.284,45,11
REP002,2025-01-01,2025,1,1,62500.0,50424.28,80.68,26,7,5,3,16808.09,198772.5,3.18,0.224,62,12
REP002,2025-02-01,2025,2,1,62500.0,57211.56,91.54,16,15,4,4,14302.89,167374.22,2.68,0.271,52,13
REP002,2025-03-01,2025,3,1,62500.0,50926.31,81.48,20,10,3,4,12731.58,191699.68,3.07,0.282,64,14
REP002,2025-04-01,2025,4,2,62500.0,64753.31,103.61,21,14,4,0,64753.31,148930.71,2.38,0.253,73,15
REP002,2025-05-01,2025,5,2,62500.0,68404.7,109.45,27,6,5,2,34202.35,187213.2,3.0,0.208,62,16
REP002,2025-06-01,2025,6,2,62500.0,55722.12,89.16,24,9,6,1,55722.12,200953.4,3.22,0.296,58,17
REP002,2025-07-01,2025,7,3,62500.0,57532.72,92.05,25,9,4,1,57532.72,158087.17,2.53,0.227,75,18
REP002,2025-08-01,2025,8,3,62500.0,61693.16,98.71,27,7,6,1,61693.16,160684.85,2.57,0.213,76,19
REP002,2025-09-01,2025,9,3,62500.0,70861.49,113.38,16,8,5,3,23620.5,173773.13,2.78,0.299,55,20
REP002,2025-10-01,2025,10,4,62500.0,70813.86,113.3,25,16,5,3,23604.62,147719.49,2.36,0.204,62,21
REP002,2025-11-01,2025,11,4,62500.0,73768.99,118.03,26,12,5,4,18442.25,191067.58,3.06,0.238,66,22
REP002,2025-12-01,2025,12,4,62500.0,68270.34,109.23,24,9,4,1,68270.34,198638.79,3.18,0.276,59,23
REP003,2024-05-01,2024,5,2,100000.0,11714.53,11.71,16,5,3,0,11714.53,192053.58,1.92,0.178,110,0
REP003,2024-06-01,2024,6,2,100000.0,18685.53,18.69,21,7,4,2,9342.76,205481.56,2.05,0.109,88,1
REP003,2024-07-01,2024,7,3,100000.0,20767.88,20.77,33,6,3,3,6922.63,229647.18,2.3,0.146,87,2
REP003,2024-08-01,2024,8,3,100000.0,35511.74,35.51,21,5,1,0,35511.74,207964.99,2.08,0.134,63,3
REP003,2024-09-01,2024,9,3,100000.0,33714.53,33.71,36,11,2,2,16857.27,191166.12,1.91,0.187,75,4
REP003,2024-10-01,2024,10,4,100000.0,41421.63,41.42,20,8,3,0,41421.63,184508.26,1.85,0.135,85,5
REP003,2024-11-01,2024,11,4,100000.0,49652.33,49.65,16,9,2,1,49652.33,182158.28,1.82,0.109,76,6
REP003,2024-12-01,2024,12,4,100000.0,47094.98,47.09,20,12,2,0,47094.98,150259.5,1.5,0.187,86,7
REP003,2025-01-01,2025,1,1,100000.0,50532.74,50.53,13,9,3,2,25266.37,203126.58,2.03,0.172,77,8
REP003,2025-02-01,2025,2,1,100000.0,19119.61,19.12,26,8,2,2,9559.8,189716.38,1.9,0.11,77,9
REP003,2025-03-01,2025,3,1,100000.0,36174.81,36.17,24,2,3,1,36174.81,185510.43,1.86,0.165,63,10
REP003,2025-04-01,2025,4,2,100000.0,39183.28,39.18,32,8,5,2,19591.64,206445.85,2.06,0.138,92,11
REP003,2025-05-01,2025,5,2,100000.0,44302.21,44.3,17,6,1,1,44302.21,150753.44,1.51,0.123,83,12
REP003,2025-06-01,2025,6,2,100000.0,34614.27,34.61,29,6,3,2,17307.14,241739.56,2.42,0.101,84,13
REP003,2025-07-01,2025,7,3,100000.0,51361.64,51.36,23,8,3,0,51361.64,233858.26,2.34,0.121,111,14
REP003,2025-08-01,2025,8,3,100000.0,61655.75,61.66,12,8,3,3,20551.92,220723.01,2.21,0.177,85,15
REP003,2025-09-01,2025,9,3,100000.0,60144.6,60.14,12,9,1,0,60144.6,204860.31,2.05,0.155,63,16
REP003,2025-10-01,2025,10,4,100000.0,33683.06,33.68,15,7,2,0,33683.06,210610.19,2.11,0.179,79,17
REP003,2025-11-01,2025,11,4,100000.0,68781.03,68.78,32,9,2,2,34390.51,225050.19,2.25,0.18,89,18
REP003,2025-12-01,2025,12,4,100000.0,63606.37,63.61,15,4,3,1,63606.37,181619.66,1.82,0.159,79,19
REP004,2024-01-01,2024,1,1,62500.0,21109.22,33.77,35,7,3,0,21109.22,129842.89,2.08,0.136,100,2
REP004,2024-02-01,2024,2,1,62500.0,22338.54,35.74,14,7,3,0,22338.54,120720.51,1.93,0.133,94,3
REP004,2024-03-01,2024,3,1,62500.0,23588.26,37.74,28,6,4,1,23588.26,156105.79,2.5,0.175,100,4
REP004,2024-04-01,2024,4,2,62500.0,40486.25,64.78,16,8,3,0,40486.25,124623.84,1.99,0.175,85,5
REP004,2024-05-01,2024,5,2,62500.0,41477.9,66.36,12,13,2,4,10369.48,124147.34,1.99,0.141,86,6
REP004,2024-06-01,2024,6,2,62500.0,48847.79,78.16,20,6,4,2,24423.89,131189.34,2.1,0.183,83,7
REP004,2024-07-01,2024,7,3,62500.0,40569.72,64.91,22,1,2,2,20284.86,102444.76,1.64,0.11,87,8
REP004,2024-08-01,2024,8,3,62500.0,41134.06,65.81,25,11,4,2,20567.03,117152.21,1.87,0.107,81,9
REP004,2024-09-01,2024,9,3,62500.0,39352.44,62.96,16,8,2,0,39352.44,107962.23,1.73,0.161,74,10
REP004,2024-10-01,2024,10,4,62500.0,49784.38,79.66,13,8,3,2,24892.19,100891.71,1.61,0.141,69,11
REP004,2024-11-01,2024,11,4,62500.0,61915.23,99.06,0,5,3,1,61915.23,129852.0,2.08,0.117,88,12
REP004,2024-12-01,2024,12,4,62500.0,42012.28,67.22,28,4,2,0,42012.28,107042.55,1.71,0.152,84,13
REP004,2025-01-01,2025,1,1,62500.0,38100.8,60.96,23,7,4,0,38100.8,113121.06,1.81,0.14,75,14
REP004,2025-02-01,2025,2,1,62500.0,36020.7,57.63,15,10,5,0,36020.7,117357.87,1.88,0.184,68,15
REP004,2025-03-01,2025,3,1,62500.0,40599.07,64.96,25,14,4,0,40599.07,141584.77,2.27,0.11,49,16
REP004,2025-04-01,2025,4,2,62500.0,40644.3,65.03,20,6,3,1,40644.3,126661.15,2.03,0.18,82,17
REP004,2025-05-01,2025,5,2,62500.0,44719.8,71.55,28,4,2,4,11179.95,114954.45,1.84,0.157,86,18
REP004,2025-06-01,2025,6,2,62500.0,51014.88,81.62,33,8,4,1,51014.88,153915.58,2.46,0.194,82,19
REP004,2025-07-01,2025,7,3,62500.0,42472.3,67.96,11,7,2,2,21236.15,101423.56,1.62,0.188,89,20
REP004,2025-08-01,2025,8,3,62500.0,48751.35,78.0,24,7,1,2,24375.67,145319.21,2.33,0.136,96,21
REP004,2025-09-01,2025,9,3,62500.0,43235.55,69.18,14,5,3,1,43235.55,155335.46,2.49,0.147,75,22
REP004,2025-10-01,2025,10,4,62500.0,45347.41,72.56,38,0,3,2,22673.71,118909.38,1.9,0.122,74,23
REP004,2025-11-01,2025,11,4,62500.0,44226.21,70.76,34,7,3,2,22113.11,126853.85,2.03,0.182,90,24
REP004,2025-12-01,2025,12,4,62500.0,52457.04,83.93,18,4,4,1,52457.04,100411.17,1.61,0.114,76,25
REP005,2024-11-01,2024,11,4,50000.0,13853.8,27.71,12,9,1,4,3463.45,116905.35,2.34,0.14,82,0
REP005,2024-12-01,2024,12,4,50000.0,19219.33,38.44,5,4,3,1,19219.33,78412.49,1.57,0.184,93,1
REP005,2025-01-01,2025,1,1,50000.0,16938.76,33.88,19,8,3,2,8469.38,81750.06,1.64,0.148,83,2
REP005,2025-02-01,2025,2,1,50000.0,16894.31,33.79,10,7,3,1,16894.31,122761.82,2.46,0.115,80,3
REP005,2025-03-01,2025,3,1,50000.0,20546.76,41.09,38,3,1,2,10273.38,97984.08,1.96,0.108,101,4
REP005,2025-04-01,2025,4,2,50000.0,24366.51,48.73,27,5,3,3,8122.17,79335.26,1.59,0.196,91,5
REP005,2025-05-01,2025,5,2,50000.0,38885.54,77.77,30,9,4,2,19442.77,77579.79,1.55,0.167,95,6
REP005,2025-06-01,2025,6,2,50000.0,28162.48,56.32,9,14,2,1,28162.48,111551.18,2.23,0.119,83,7
REP005,2025-07-01,2025,7,3,50000.0,41401.63,82.8,12,11,0,2,20700.82,93234.86,1.86,0.156,97,8
REP005,2025-08-01,2025,8,3,50000.0,36451.72,72.9,20,10,0,0,36451.72,103621.39,2.07,0.18,105,9
REP005,2025-09-01,2025,9,3,50000.0,40496.23,80.99,23,0,3,1,40496.23,98097.14,1.96,0.199,94,10
REP005,2025-10-01,2025,10,4,50000.0,33004.28,66.01,16,3,5,0,33004.28,88584.35,1.77,0.14,82,11
REP005,2025-11-01,2025,11,4,50000.0,42405.35,84.81,14,1,2,1,42405.35,104455.43,2.09,0.128,92,12
REP005,2025-12-01,2025,12,4,50000.0,49386.1,98.77,12,6,3,0,49386.1,124116.53,2.48,0.188,93,13
REP006,2024-07-01,2024,7,3,62500.0,26524.89,42.44,46,19,8,5,5304.98,201910.57,3.23,0.383,41,0
REP006,2024-08-01,2024,8,3,62500.0,30406.34,48.65,43,18,8,4,7601.59,226861.12,3.63,0.322,70,1
REP006,2024-09-01,2024,9,3,62500.0,42016.67,67.23,48,20,6,4,10504.17,243589.76,3.9,0.346,44,2
REP006,2024-10-01,2024,10,4,62500.0,59333.45,94.93,27,17,7,2,29666.72,190273.54,3.04,0.385,44,3
REP006,2024-11-01,2024,11,4,62500.0,73975.8,118.36,43,17,8,3,24658.6,220787.66,3.53,0.396,46,4
REP006,2024-12-01,2024,12,4,62500.0,71869.66,114.99,52,20,9,4,17967.41,221486.18,3.54,0.386,46,5
REP006,2025-01-01,2025,1,1,62500.0,69967.76,111.95,58,18,7,3,23322.59,202418.13,3.24,0.393,35,6
REP006,2025-02-01,2025,2,1,62500.0,59843.11,95.75,37,21,9,3,19947.7,187821.57,3.01,0.382,47,7
REP006,2025-03-01,2025,3,1,62500.0,58452.38,93.52,43,24,8,3,19484.13,192756.14,3.08,0.333,38,8
REP006,2025-04-01,2025,4,2,62500.0,77497.57,124.0,42,17,7,3,25832.52,188651.73,3.02,0.343,41,9
REP006,2025-05-01,2025,5,2,62500.0,71554.65,114.49,53,22,8,4,17888.66,246706.12,3.95,0.317,38,10
REP006,2025-06-01,2025,6,2,62500.0,80796.63,129.27,43,25,7,5,16159.33,227973.35,3.65,0.359,38,11
REP006,2025-07-01,2025,7,3,62500.0,85665.45,137.06,43,23,7,3,28555.15,246518.98,3.94,0.31,32,12
REP006,2025-08-01,2025,8,3,62500.0,86201.88,137.92,55,20,8,3,28733.96,235801.42,3.77,0.323,49,13
REP006,2025-09-01,2025,9,3,62500.0,86253.56,138.01,46,14,7,5,17250.71,234114.81,3.75,0.32,35,14
REP006,2025-10-01,2025,10,4,62500.0,98777.3,158.04,49,25,10,2,49388.65,197452.86,3.16,0.32,61,15
REP006,2025-11-01,2025,11,4,62500.0,82834.91,132.54,25,18,8,3,27611.64,187576.99,3.0,0.36,31,16
REP006,2025-12-01,2025,12,4,62500.0,93887.0,150.22,47,15,7,3,31295.67,228219.97,3.65,0.333,30,17
REP007,2024-10-01,2024,10,4,50000.0,10687.33,21.37,35,6,1,0,10687.33,123734.99,2.47,0.172,101,0
REP007,2024-11-01,2024,11,4,50000.0,11384.72,22.77,22,8,2,1,11384.72,80139.62,1.6,0.157,84,1
REP007,2024-12-01,2024,12,4,50000.0,8865.16,17.73,16,10,2,2,4432.58,79125.43,1.58,0.182,85,2
REP007,2025-01-01,2025,1,1,50000.0,9187.05,18.37,25,4,3,1,9187.05,81211.0,1.62,0.19,102,3
REP007,2025-02-01,2025,2,1,50000.0,14000.84,28.0,31,8,2,1,14000.84,114171.14,2.28,0.161,90,4
REP007,2025-03-01,2025,3,1,50000.0,14224.56,28.45,25,12,4,1,14224.56,99045.19,1.98,0.104,82,5
REP007,2025-04-01,2025,4,2,50000.0,24496.53,48.99,10,12,4,3,8165.51,91450.87,1.83,0.147,80,6
REP007,2025-05-01,2025,5,2,50000.0,24885.58,49.77,18,10,3,0,24885.58,99663.84,1.99,0.108,71,7
REP007,2025-06-01,2025,6,2,50000.0,18368.0,36.74,16,8,2,2,9184.0,106438.24,2.13,0.174,82,8
REP007,2025-07-01,2025,7,3,50000.0,26622.2,53.24,44,8,5,1,26622.2,76469.72,1.53,0.14,100,9
REP007,2025-08-01,2025,8,3,50000.0,27152.08,54.3,33,4,1,0,27152.08,116799.9,2.34,0.124,62,10
